"ID Seller";Seller;"ID Produto";"SKU Seller";EAN;Nome;Estoque;"Preço de";"Preço por";Status;Departamento;Categoria;Subcategoria;Match;"Histórico de validação";"Prazo expedição";"Tabela de frete"
52;"MPOZENATO ";709939635;SKU_660084727;7908816326112;"Poltrona do Papai Reclinável Kalie Controle Power Elétrico Usb Fh9 Pu Marrom Brilho - Mpozenato";500,00;9252,83;6754,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";800526076;SKU_660084703;7908816325993;"Poltrona do Papai Reclinável Kalie Controle Power Elétrico Usb Fh9 Pu Whisky - Mpozenato";500,00;9649,53;7043,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";961762926;SKU_660084719;7908816326075;"Poltrona do Papai Reclinável Kalie Controle Power Elétrico Usb Fh9 Veludo Vermelho - Mpozenato";500,00;8613,10;6287,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";907075355;SKU_660084715;7908816326051;"Poltrona do Papai Reclinável Kalie Controle Power Elétrico Usb Fh9 Veludo Terracota - Mpozenato";500,00;8613,10;6287,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";937318728;SKU_660084725;7908816326105;"Poltrona do Papai Reclinável Kalie Controle Power Elétrico Usb Fh9 Pu Preto Brilho - Mpozenato";500,00;9252,83;6754,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";207458499;SKU_660084835;7908816326655;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Pu Marrom Brilho - Mpozenato";500,00;9102,72;6644,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";295750767;SKU_660084801;7908816326488;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Pu Bege - Mpozenato";500,00;8741,76;6380,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";283651665;SKU_660084795;7908816326457;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Linho Grafite - Mpozenato";500,00;8627,39;6297,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";305927091;SKU_660084803;7908816326495;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Pu Vermelho - Mpozenato";500,00;8741,76;6380,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";397862689;SKU_660084815;7908816326556;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Veludo Capuccino - Mpozenato";500,00;8452,27;6169,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";500188399;SKU_660084797;7908816326464;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Pu Caramelo - Mpozenato";500,00;8741,76;6380,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";878251176;SKU_660084799;7908816326471;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Pu Cinza - Mpozenato";500,00;8741,76;6380,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";944505854;SKU_660084813;7908816326549;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Pu Verde Musgo - Mpozenato";500,00;9452,97;6900,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";673161731;SKU_660084821;7908816326587;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Veludo Rosê - Mpozenato";500,00;8452,27;6169,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";218991004;SKU_660085727;7908816321179;"Poltrona do Papai Reclinável Pietra Power Elétrica Massagem Fh9 Veludo Vermelho - Mpozenato";500,00;10114,14;7382,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";127376650;SKU_660084789;7908816326426;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Veludo Preto - Mpozenato";500,00;8452,27;6169,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";415556291;SKU_660085669;7908816320882;"Poltrona do Papai Reclinável Pietra Power Elétrica Usb Fh9 Veludo Azul - Mpozenato";500,00;9041,97;6600,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";501238948;SKU_660086045;7908816320554;"Poltrona do Papai Reclinável Pietra Power Elétrica Fh9 Pu Vermelho - Mpozenato";500,00;8891,86;6490,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";364682566;SKU_660084825;7908816326600;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Veludo Cinza - Mpozenato";500,00;8452,27;6169,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";186649458;SKU_660086071;7908816322138;"Poltrona do Papai Reclinável Pietra Controle Power Elétrico Fh9 Veludo Azul - Mpozenato";500,00;8809,66;6430,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";244008611;SKU_660084793;7908816326440;"Poltrona do Papai Reclinável Kalie Power Touch Fh9 Linho Cinza - Mpozenato";500,00;8627,39;6297,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
